А112Т4;Набор вилок;1600;30;Davinci;Максидом;Вилки;2;6;Набор столовых вилок Davinci, 20 см 6 шт.;А112Т4.jpg;
T793T4;Набор ложек;250;10;Attribute;LeroiMerlin;Ложки;3;16;Набор столовых ложек Baguette 3 предмета серебристый;T793T4.jpg;
G387Y6;Ложка столовая;441;5;Doria;Максидом;Ложки;4;23;Ложка столовая DORIA L=195/60 мм Eternum;G387Y6.jpg;
F573T5;Вилки столовые;650;15;Davinci;Максидом;вилки;3;4;Вилки столовые на блистере / 6 шт.;F573T5.jpg;
D735T5;Ложка чайная;220;5;Alaska;LeroiMerlin;Ложки;2;13;Ложка чайная ALASKA Eternum;D735T5.jpg;
B736H6;Вилка столовая;220;5;Alaska;LeroiMerlin;Вилки;3;4;Вилка столовая 21,2 см «Аляска бэйсик» сталь KunstWerk;B736H6.jpg;
H384H3;Набор столовых приборов;600;15;Apollo;Максидом;наборы;2;9;Набор столовых приборов для торта Palette 7 предметов серебристый;H384H3.jpg;
K437E6;Набор вилок;530;5;Apollo;Максидом;наборы;3;16;"Набор вилок столовых APOLLO ""Aurora"" 3шт.";K437E6.jpg;
E732R7;Набор столовых приборов;990;15;Smart Home;Максидом;наборы;5;6;Набор столовых приборов Smart Home20 Black в подарочной коробке, 4 шт;E732R7.jpg;
R836H6;Набор  столовых ножей;250;5;Attribute;LeroiMerlin;ножи;3;16;Attribute Набор столовых ножей Baguette 2 предмета серебристый;R836H6.jpg;
F392G6;Набор столовых приборов;490;10;Apollo;LeroiMerlin;наборы;4;9;Apollo Набор столовых приборов Chicago 4 предмета серебристый;;
C730R7;Ложка детская;300;5;Smart Home;LeroiMerlin;Ложки;3;17;Ложка детская столовая;;
F839R6;Ложка чайная;400;15;Doria;Максидом;Ложки;2;6;Ложка чайная DORIA Eternum;;
G304H6;Набор ложек;500;5;Apollo;Максидом;Ложки;4;12;"Набор ложек столовых APOLLO ""Bohemica"" 3 пр.";;
C430T4;Набор на одну персону;1600;30;Attribute;LeroiMerlin;наборы;3;6;"Набор на одну персону (4 предмета) серия ""Bistro"", нерж. сталь, Was, Германия.";;
C946Y6;Вилка столовая;300;15;Apollo;LeroiMerlin;Вилки;2;16;Вилка детская столовая;;
C943G5;Набор чайных ложек;200;5;Attribute;Максидом;наборы;4;12;Attribute Набор чайных ложек Baguette 3 предмета серебристый;;
S394J5;Набор чайных ложек;170;5;Attribute;LeroiMerlin;наборы;3;4;Attribute Набор чайных ложек Chaplet 3 предмета серебристый;;
S395B5;Нож для стейка;600;10;Apollo;LeroiMerlin;ножи;4;15;Нож для стейка 11,5 см серебристый/черный;;
V403G6;Ложка чайная;600;15;Doria;Максидом;Ложки;5;24;Ложка чайная DORIA Eternum;;
B963H5;Ложка;800;5;Smart Home;LeroiMerlin;Ложки;3;8;Ложка 21 мм металлическая (медная) (Упаковка 10 шт);;
N493G6;Набор для серверовки;2550;15;Smart Home;LeroiMerlin;наборы;4;6;Набор для сервировки сыра Select;;
L593H5;набор ножей;1300;25;Mayer & Boch;Максидом;наборы;5;14;Набор ножей Mayer & Boch, 4 шт;;
V026J4;набор ножей;700;15;Apollo;Максидом;наборы;3;9;абор ножей для стейка и пиццы Swiss classic 2 шт. желтый;;
V727Y6;Набор десертных ложек;3000;10;Mayer & Boch;LeroiMerlin;Ложки;4;8;Набор десертных ложек на подставке Размер: 7*7*15 см;;
H495H6;Набор стейковых ножей;7000;15;Mayer & Boch;LeroiMerlin;ножи;2;15;Набор стейковых ножей 4 пр. в деревянной коробке;;
F745K4;Столовые приборы для салата;2000;10;Mayer & Boch;LeroiMerlin;наборы;3;2;Столовые приборы для салата Orskov Lava, 2шт;;
C635Y6;Детский столовый набор;1000;15;Apollo;Максидом;наборы;4;25;Детский столовый набор Fissman «Зебра» ;;
W405G6;Набор столовых приборов;1300;25;Attribute;LeroiMerlin;наборы;3;4;Набор сервировочных столовых вилок Цветы;;
W295Y5;Сервировочный набор для торта;1100;15;Attribute;Максидом;наборы;2;16;"Набор сервировочный для торта ""Розанна""";;
