344288;г.Талнах;ул.Чехова,1
614164;г.Талнах; ул.Степная,30
394242;г.Талнах;ул.Коммунистическая,43
660540;г.Талнах;ул.Солнечная,25
125837;г.Талнах;ул.Шоссейная,40
125703;г.Талнах;ул.Партизанская,49
625283;г.Талнах;ул.Победы,46
614611;г.Талнах;ул.Молодежная,50
454311;г.Талнах;ул.Новая,19
660007;г.Талнах;ул.Октябрьская,19
603036;г.Талнах;ул.Садовая,4
450983;г.Талнах;ул.Комсомольская,26
394782;г.Талнах;ул.Чехова,3
603002;г.Талнах;ул.Дзержинского,28
450558;г.Талнах;ул.Набережная,30
394060;г.Талнах;ул.Фрунзе,43
410661;г.Талнах;ул.Школьная,50
625590;г.Талнах;ул.Коммунистическая,20
625683;г.Талнах;ул.8 Марта
400562;г.Талнах;ул.Зеленая,32
614510;г.Талнах;ул.Маяковского,47
410542;г.Талнах;ул.Светлая,46
620839;г.Талнах;ул.Цветочная,8
443890;г.Талнах;ул.Коммунистическая,1
603379;г.Талнах;ул.Спортивная,46
603721;г.Талнах;ул.Гоголя,41
410172;г.Талнах;ул.Северная,13
420151;г.Талнах;ул.Вишневая,32
125061;г.Талнах;ул.Подгорная,8
630370;г.Талнах;ул.Шоссейная,24
614753;г.Талнах;ул.Полевая,35
426030;г.Талнах;ул.Маяковского,44
450375;г.Талнах;ул.Клубная,44
625560;г.Талнах;ул.Некрасова,12
630201;г.Талнах;ул.Комсомольская,17
190949;г.Талнах;ул.Мичурина,26
